date,method,t_df,ewma_sigma
2025-03-18,Monte Carlo (Student-t),7.1188,
2025-03-19,Parametric (t + EWMA),9.7286,0.0139
2025-03-19,Monte Carlo (Student-t),7.1287,
2025-03-20,Parametric (t + EWMA),9.725,0.0138
2025-03-20,Monte Carlo (Student-t),7.1298,
2025-03-21,Parametric (t + EWMA),9.7165,0.0134
2025-03-21,Monte Carlo (Student-t),7.1094,
2025-03-24,Parametric (t + EWMA),9.7007,0.013
2025-03-24,Monte Carlo (Student-t),7.0789,
2025-03-25,Parametric (t + EWMA),9.7446,0.0136
2025-03-25,Monte Carlo (Student-t),7.0858,
2025-03-26,Parametric (t + EWMA),9.7264,0.0132
2025-03-26,Monte Carlo (Student-t),7.0795,
2025-03-27,Parametric (t + EWMA),9.7648,0.0134
2025-03-27,Monte Carlo (Student-t),7.0936,
2025-03-28,Parametric (t + EWMA),9.7721,0.013
2025-03-28,Monte Carlo (Student-t),7.0871,
2025-03-31,Parametric (t + EWMA),9.8474,0.0137
2025-03-31,Monte Carlo (Student-t),7.0817,
2025-04-01,Parametric (t + EWMA),9.8448,0.0133
2025-04-01,Monte Carlo (Student-t),7.08,
2025-04-02,Parametric (t + EWMA),9.8084,0.013
2025-04-02,Monte Carlo (Student-t),7.0483,
2025-04-03,Parametric (t + EWMA),9.7937,0.0127
2025-04-03,Monte Carlo (Student-t),7.044,
2025-04-04,Parametric (t + EWMA),9.1947,0.0178
2025-04-04,Monte Carlo (Student-t),6.8889,
2025-04-07,Parametric (t + EWMA),9.1184,0.0227
2025-04-07,Monte Carlo (Student-t),6.6167,
2025-04-08,Parametric (t + EWMA),9.1182,0.022
2025-04-08,Monte Carlo (Student-t),6.6115,
2025-04-09,Parametric (t + EWMA),9.1388,0.0218
2025-04-09,Monte Carlo (Student-t),6.6173,
2025-04-10,Parametric (t + EWMA),8.1771,0.0341
2025-04-10,Monte Carlo (Student-t),5.1329,
2025-04-11,Parametric (t + EWMA),8.1946,0.0344
2025-04-11,Monte Carlo (Student-t),5.1432,
2025-04-14,Parametric (t + EWMA),8.1956,0.0337
2025-04-14,Monte Carlo (Student-t),5.1409,
2025-04-15,Parametric (t + EWMA),8.1939,0.0327
2025-04-15,Monte Carlo (Student-t),5.139,
2025-04-16,Parametric (t + EWMA),8.1948,0.0317
2025-04-16,Monte Carlo (Student-t),5.1385,
2025-04-17,Parametric (t + EWMA),8.2039,0.0315
2025-04-17,Monte Carlo (Student-t),5.1467,
2025-04-21,Parametric (t + EWMA),8.2038,0.0305
2025-04-21,Monte Carlo (Student-t),5.1355,
2025-04-22,Parametric (t + EWMA),8.2178,0.0303
2025-04-22,Monte Carlo (Student-t),5.143,
2025-04-23,Parametric (t + EWMA),8.2261,0.03
2025-04-23,Monte Carlo (Student-t),5.1508,
2025-04-24,Parametric (t + EWMA),8.2207,0.0296
2025-04-24,Monte Carlo (Student-t),5.1552,
2025-04-25,Parametric (t + EWMA),8.2163,0.0292
2025-04-25,Monte Carlo (Student-t),5.1601,
2025-04-28,Parametric (t + EWMA),8.2276,0.0285
2025-04-28,Monte Carlo (Student-t),5.1627,
2025-04-29,Parametric (t + EWMA),8.2263,0.0276
2025-04-29,Monte Carlo (Student-t),5.1624,
2025-04-30,Parametric (t + EWMA),8.2245,0.0268
2025-04-30,Monte Carlo (Student-t),5.1613,
2025-05-01,Parametric (t + EWMA),8.2144,0.026
2025-05-01,Monte Carlo (Student-t),5.1598,
2025-05-02,Parametric (t + EWMA),8.2153,0.0253
2025-05-02,Monte Carlo (Student-t),5.161,
2025-05-05,Parametric (t + EWMA),8.2338,0.0248
2025-05-05,Monte Carlo (Student-t),5.1643,
2025-05-06,Parametric (t + EWMA),8.2201,0.0241
2025-05-06,Monte Carlo (Student-t),5.1587,
2025-05-07,Parametric (t + EWMA),8.2141,0.0234
2025-05-07,Monte Carlo (Student-t),5.1584,
2025-05-08,Parametric (t + EWMA),8.2035,0.0227
2025-05-08,Monte Carlo (Student-t),5.157,
2025-05-09,Parametric (t + EWMA),8.2022,0.0221
2025-05-09,Monte Carlo (Student-t),5.1565,
2025-05-12,Parametric (t + EWMA),8.2319,0.0214
2025-05-12,Monte Carlo (Student-t),5.1655,
2025-05-13,Parametric (t + EWMA),8.2665,0.0229
2025-05-13,Monte Carlo (Student-t),5.1763,
2025-05-14,Parametric (t + EWMA),8.2565,0.0224
2025-05-14,Monte Carlo (Student-t),5.1759,
2025-05-15,Parametric (t + EWMA),8.2456,0.0217
2025-05-15,Monte Carlo (Student-t),5.1745,
2025-05-16,Parametric (t + EWMA),8.2436,0.021
2025-05-16,Monte Carlo (Student-t),5.1727,
2025-05-19,Parametric (t + EWMA),8.256,0.0205
2025-05-19,Monte Carlo (Student-t),5.1716,
2025-05-20,Parametric (t + EWMA),8.2537,0.0198
2025-05-20,Monte Carlo (Student-t),5.1713,
2025-05-21,Parametric (t + EWMA),8.2459,0.0193
2025-05-21,Monte Carlo (Student-t),5.1702,
2025-05-22,Parametric (t + EWMA),8.2518,0.019
2025-05-22,Monte Carlo (Student-t),5.1726,
2025-05-23,Parametric (t + EWMA),8.2488,0.0185
2025-05-23,Monte Carlo (Student-t),5.1709,
2025-05-27,Parametric (t + EWMA),8.2037,0.018
2025-05-27,Monte Carlo (Student-t),5.1556,
2025-05-28,Parametric (t + EWMA),8.2124,0.0183
2025-05-28,Monte Carlo (Student-t),5.1608,
2025-05-29,Parametric (t + EWMA),8.2048,0.0178
2025-05-29,Monte Carlo (Student-t),5.1598,
2025-05-30,Parametric (t + EWMA),8.1991,0.0173
2025-05-30,Monte Carlo (Student-t),5.1573,
2025-06-02,Parametric (t + EWMA),8.1974,0.0168
2025-06-02,Monte Carlo (Student-t),5.1532,
2025-06-03,Parametric (t + EWMA),8.1965,0.0163
