date,method,t_df,ewma_sigma
2025-03-18,Monte Carlo (Student-t),6.3671,
2025-03-19,Parametric (t + EWMA),8.4601,0.0103
2025-03-19,Monte Carlo (Student-t),6.3683,
2025-03-20,Parametric (t + EWMA),8.4533,0.0102
2025-03-20,Monte Carlo (Student-t),6.3663,
2025-03-21,Parametric (t + EWMA),8.4492,0.0099
2025-03-21,Monte Carlo (Student-t),6.3471,
2025-03-24,Parametric (t + EWMA),8.4514,0.0096
2025-03-24,Monte Carlo (Student-t),6.3337,
2025-03-25,Parametric (t + EWMA),8.4801,0.01
2025-03-25,Monte Carlo (Student-t),6.3343,
2025-03-26,Parametric (t + EWMA),8.4694,0.0097
2025-03-26,Monte Carlo (Student-t),6.3305,
2025-03-27,Parametric (t + EWMA),8.4718,0.0095
2025-03-27,Monte Carlo (Student-t),6.3305,
2025-03-28,Parametric (t + EWMA),8.4753,0.0092
2025-03-28,Monte Carlo (Student-t),6.3155,
2025-03-31,Parametric (t + EWMA),8.5351,0.0098
2025-03-31,Monte Carlo (Student-t),6.3143,
2025-04-01,Parametric (t + EWMA),8.5358,0.0097
2025-04-01,Monte Carlo (Student-t),6.3019,
2025-04-02,Parametric (t + EWMA),8.5127,0.0094
2025-04-02,Monte Carlo (Student-t),6.2849,
2025-04-03,Parametric (t + EWMA),8.5047,0.0092
2025-04-03,Monte Carlo (Student-t),6.2824,
2025-04-04,Parametric (t + EWMA),7.9322,0.0136
2025-04-04,Monte Carlo (Student-t),6.21,
2025-04-07,Parametric (t + EWMA),7.4985,0.0204
2025-04-07,Monte Carlo (Student-t),5.7021,
2025-04-08,Parametric (t + EWMA),7.4986,0.0198
2025-04-08,Monte Carlo (Student-t),5.6959,
2025-04-09,Parametric (t + EWMA),7.5089,0.0195
2025-04-09,Monte Carlo (Student-t),5.6974,
2025-04-10,Parametric (t + EWMA),7.2888,0.0282
2025-04-10,Monte Carlo (Student-t),4.9973,
2025-04-11,Parametric (t + EWMA),7.3033,0.0285
2025-04-11,Monte Carlo (Student-t),5.007,
2025-04-14,Parametric (t + EWMA),7.2989,0.0279
2025-04-14,Monte Carlo (Student-t),4.9978,
2025-04-15,Parametric (t + EWMA),7.2983,0.0271
2025-04-15,Monte Carlo (Student-t),4.9966,
2025-04-16,Parametric (t + EWMA),7.2987,0.0263
2025-04-16,Monte Carlo (Student-t),4.9967,
2025-04-17,Parametric (t + EWMA),7.3006,0.0259
2025-04-17,Monte Carlo (Student-t),5.0016,
2025-04-21,Parametric (t + EWMA),7.2927,0.0251
2025-04-21,Monte Carlo (Student-t),4.9848,
2025-04-22,Parametric (t + EWMA),7.3031,0.0249
2025-04-22,Monte Carlo (Student-t),4.9915,
2025-04-23,Parametric (t + EWMA),7.3098,0.0248
2025-04-23,Monte Carlo (Student-t),4.9994,
2025-04-24,Parametric (t + EWMA),7.3043,0.0243
2025-04-24,Monte Carlo (Student-t),5.0014,
2025-04-25,Parametric (t + EWMA),7.3007,0.024
2025-04-25,Monte Carlo (Student-t),5.0053,
2025-04-28,Parametric (t + EWMA),7.3016,0.0232
2025-04-28,Monte Carlo (Student-t),4.9973,
2025-04-29,Parametric (t + EWMA),7.2997,0.0225
2025-04-29,Monte Carlo (Student-t),4.9967,
2025-04-30,Parametric (t + EWMA),7.2998,0.0219
2025-04-30,Monte Carlo (Student-t),4.9969,
2025-05-01,Parametric (t + EWMA),7.2926,0.0213
2025-05-01,Monte Carlo (Student-t),4.9958,
2025-05-02,Parametric (t + EWMA),7.2934,0.0206
2025-05-02,Monte Carlo (Student-t),4.996,
2025-05-05,Parametric (t + EWMA),7.3078,0.0204
2025-05-05,Monte Carlo (Student-t),4.9978,
2025-05-06,Parametric (t + EWMA),7.2966,0.0198
2025-05-06,Monte Carlo (Student-t),4.9892,
2025-05-07,Parametric (t + EWMA),7.2943,0.0193
2025-05-07,Monte Carlo (Student-t),4.9899,
2025-05-08,Parametric (t + EWMA),7.2874,0.0188
2025-05-08,Monte Carlo (Student-t),4.9894,
2025-05-09,Parametric (t + EWMA),7.2863,0.0183
2025-05-09,Monte Carlo (Student-t),4.9879,
2025-05-12,Parametric (t + EWMA),7.291,0.0177
2025-05-12,Monte Carlo (Student-t),5.0758,
2025-05-13,Parametric (t + EWMA),7.3101,0.0187
2025-05-13,Monte Carlo (Student-t),5.0828,
2025-05-14,Parametric (t + EWMA),7.3031,0.0181
2025-05-14,Monte Carlo (Student-t),5.0815,
2025-05-15,Parametric (t + EWMA),7.2986,0.0176
2025-05-15,Monte Carlo (Student-t),5.0809,
2025-05-16,Parametric (t + EWMA),7.2995,0.0172
2025-05-16,Monte Carlo (Student-t),5.0809,
2025-05-19,Parametric (t + EWMA),7.3075,0.0168
2025-05-19,Monte Carlo (Student-t),5.0772,
2025-05-20,Parametric (t + EWMA),7.3051,0.0163
2025-05-20,Monte Carlo (Student-t),5.0764,
2025-05-21,Parametric (t + EWMA),7.2991,0.0159
2025-05-21,Monte Carlo (Student-t),5.0753,
2025-05-22,Parametric (t + EWMA),7.3131,0.016
2025-05-22,Monte Carlo (Student-t),5.0812,
2025-05-23,Parametric (t + EWMA),7.3153,0.0156
2025-05-23,Monte Carlo (Student-t),5.0817,
2025-05-27,Parametric (t + EWMA),7.2872,0.0151
2025-05-27,Monte Carlo (Student-t),5.0614,
2025-05-28,Parametric (t + EWMA),7.2914,0.0153
2025-05-28,Monte Carlo (Student-t),5.0661,
2025-05-29,Parametric (t + EWMA),7.2875,0.0149
2025-05-29,Monte Carlo (Student-t),5.0655,
2025-05-30,Parametric (t + EWMA),7.2842,0.0145
2025-05-30,Monte Carlo (Student-t),5.0617,
2025-06-02,Parametric (t + EWMA),7.2866,0.014
2025-06-02,Monte Carlo (Student-t),5.058,
2025-06-03,Parametric (t + EWMA),7.2864,0.0136
2025-06-03,Monte Carlo (Student-t),5.0576,
2025-06-04,Parametric (t + EWMA),7.2799,0.0133
2025-06-04,Monte Carlo (Student-t),5.0568,
2025-06-05,Parametric (t + EWMA),7.2734,0.0129
2025-06-05,Monte Carlo (Student-t),5.0556,
2025-06-06,Parametric (t + EWMA),7.2678,0.0125
2025-06-06,Monte Carlo (Student-t),5.0544,
2025-06-09,Parametric (t + EWMA),7.2733,0.0124
2025-06-09,Monte Carlo (Student-t),5.0502,
2025-06-10,Parametric (t + EWMA),7.2693,0.012
2025-06-10,Monte Carlo (Student-t),5.0489,
2025-06-11,Parametric (t + EWMA),7.2661,0.0117
2025-06-11,Monte Carlo (Student-t),5.0461,
2025-06-12,Parametric (t + EWMA),7.2602,0.0114
2025-06-12,Monte Carlo (Student-t),5.0449,
2025-06-13,Parametric (t + EWMA),7.2534,0.0111
2025-06-13,Monte Carlo (Student-t),5.0438,
2025-06-16,Parametric (t + EWMA),7.2689,0.0111
2025-06-16,Monte Carlo (Student-t),5.0408,
2025-06-17,Parametric (t + EWMA),7.2701,0.0109
2025-06-17,Monte Carlo (Student-t),5.0415,
2025-06-18,Parametric (t + EWMA),7.2844,0.0108
2025-06-18,Monte Carlo (Student-t),5.0436,
2025-06-20,Parametric (t + EWMA),7.2782,0.0105
2025-06-20,Monte Carlo (Student-t),5.0424,
2025-06-23,Parametric (t + EWMA),7.2924,0.0102
2025-06-23,Monte Carlo (Student-t),5.0436,
2025-06-24,Parametric (t + EWMA),7.291,0.0101
2025-06-24,Monte Carlo (Student-t),5.0434,
