date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-01-02,Historical,0.95,2020-02-03,1237,18328921.8,32111182.78,-663240.37,False
2025-01-02,Historical,0.97,2020-02-03,1237,24788340.24,39333069.28,-663240.37,False
2025-01-02,Historical,0.99,2020-02-03,1237,34556102.46,57433725.26,-663240.37,False
2025-01-02,Monte Carlo (Student-t),0.95,2020-02-03,1237,19345400.98,29497474.42,-663240.37,False
2025-01-02,Monte Carlo (Student-t),0.97,2020-02-03,1237,23830014.73,34889035.47,-663240.37,False
2025-01-02,Monte Carlo (Student-t),0.99,2020-02-03,1237,35765514.45,48130050.8,-663240.37,False
2025-01-02,Parametric (Normal),0.95,2020-02-03,1237,21438975.36,27089289.48,-663240.37,False
2025-01-02,Parametric (Normal),0.97,2020-02-03,1237,24629368.37,29866073.42,-663240.37,False
2025-01-02,Parametric (Normal),0.99,2020-02-03,1237,30654176.91,35236345.72,-663240.37,False
2025-01-02,Parametric (t + EWMA),0.95,2020-02-03,1237,12399974.44,16976939.29,-663240.37,False
2025-01-02,Parametric (t + EWMA),0.97,2020-02-03,1237,14718373.43,19318566.06,-663240.37,False
2025-01-02,Parametric (t + EWMA),0.99,2020-02-03,1237,19665341.09,24466737.87,-663240.37,False
2025-01-03,Historical,0.95,2020-02-03,1238,18328112.85,32111182.78,10048002.11,False
2025-01-03,Historical,0.97,2020-02-03,1238,24784109.77,39333069.28,10048002.11,False
2025-01-03,Historical,0.99,2020-02-03,1238,34555377.9,57433725.26,10048002.11,False
2025-01-03,Monte Carlo (Student-t),0.95,2020-02-03,1238,20275624.44,29859242.94,10048002.11,False
2025-01-03,Monte Carlo (Student-t),0.97,2020-02-03,1238,24216584.14,35036249.29,10048002.11,False
2025-01-03,Monte Carlo (Student-t),0.99,2020-02-03,1238,33620560.15,48555991.49,10048002.11,False
2025-01-03,Parametric (Normal),0.95,2020-02-03,1238,21431273.18,27079329.8,10048002.11,False
2025-01-03,Parametric (Normal),0.97,2020-02-03,1238,24620391.51,29855004.31,10048002.11,False
2025-01-03,Parametric (Normal),0.99,2020-02-03,1238,30642792.93,35223131.0,10048002.11,False
2025-01-03,Parametric (t + EWMA),0.95,2020-02-03,1238,12001116.59,16441119.99,10048002.11,False
2025-01-03,Parametric (t + EWMA),0.97,2020-02-03,1238,14249817.56,18712785.8,10048002.11,False
2025-01-03,Parametric (t + EWMA),0.99,2020-02-03,1238,19048773.21,23707909.31,10048002.11,False
2025-01-06,Historical,0.95,2020-02-06,1236,18329730.76,32111182.78,1090941.34,False
2025-01-06,Historical,0.97,2020-02-06,1236,24792570.71,39333069.28,1090941.34,False
2025-01-06,Historical,0.99,2020-02-06,1236,34556827.02,57433725.26,1090941.34,False
2025-01-06,Monte Carlo (Student-t),0.95,2020-02-06,1236,20100958.11,29951979.99,1090941.34,False
2025-01-06,Monte Carlo (Student-t),0.97,2020-02-06,1236,24919964.08,34950478.89,1090941.34,False
2025-01-06,Monte Carlo (Student-t),0.99,2020-02-06,1236,35085767.9,46745657.74,1090941.34,False
2025-01-06,Parametric (Normal),0.95,2020-02-06,1236,21451002.5,27098565.96,1090941.34,False
2025-01-06,Parametric (Normal),0.97,2020-02-06,1236,24639842.38,29873998.12,1090941.34,False
2025-01-06,Parametric (Normal),0.99,2020-02-06,1236,30661717.95,35241656.09,1090941.34,False
2025-01-06,Parametric (t + EWMA),0.95,2020-02-06,1236,12253689.03,16768416.0,1090941.34,False
2025-01-06,Parametric (t + EWMA),0.97,2020-02-06,1236,14541236.63,19077970.69,1090941.34,False
2025-01-06,Parametric (t + EWMA),0.99,2020-02-06,1236,19420889.74,24154031.29,1090941.34,False
2025-01-07,Historical,0.95,2020-02-07,1236,18329730.76,32111182.78,-4574615.21,False
2025-01-07,Historical,0.97,2020-02-07,1236,24792570.71,39333069.28,-4574615.21,False
2025-01-07,Historical,0.99,2020-02-07,1236,34556827.02,57433725.26,-4574615.21,False
2025-01-07,Monte Carlo (Student-t),0.95,2020-02-07,1236,20300455.8,30873129.29,-4574615.21,False
2025-01-07,Monte Carlo (Student-t),0.97,2020-02-07,1236,24396998.67,36722529.15,-4574615.21,False
2025-01-07,Monte Carlo (Student-t),0.99,2020-02-07,1236,37086517.75,51809249.69,-4574615.21,False
2025-01-07,Parametric (Normal),0.95,2020-02-07,1236,21452574.56,27100048.69,-4574615.21,False
2025-01-07,Parametric (Normal),0.97,2020-02-07,1236,24641364.0,29875436.95,-4574615.21,False
2025-01-07,Parametric (Normal),0.99,2020-02-07,1236,30663144.32,35243010.02,-4574615.21,False
2025-01-07,Parametric (t + EWMA),0.95,2020-02-07,1236,11865907.52,16245635.95,-4574615.21,False
2025-01-07,Parametric (t + EWMA),0.97,2020-02-07,1236,14085054.9,18486130.2,-4574615.21,False
2025-01-07,Parametric (t + EWMA),0.99,2020-02-07,1236,18818797.4,23410402.32,-4574615.21,False
2025-01-08,Historical,0.95,2020-02-10,1236,18329730.76,32111182.78,2394946.49,False
2025-01-08,Historical,0.97,2020-02-10,1236,24792570.71,39333069.28,2394946.49,False
2025-01-08,Historical,0.99,2020-02-10,1236,34556827.02,57433725.26,2394946.49,False
2025-01-08,Monte Carlo (Student-t),0.95,2020-02-10,1236,20804989.13,30615990.42,2394946.49,False
2025-01-08,Monte Carlo (Student-t),0.97,2020-02-10,1236,25727379.25,35640784.1,2394946.49,False
2025-01-08,Monte Carlo (Student-t),0.99,2020-02-10,1236,35611891.6,47276292.97,2394946.49,False
2025-01-08,Parametric (Normal),0.95,2020-02-10,1236,21452297.32,27099743.33,2394946.49,False
2025-01-08,Parametric (Normal),0.97,2020-02-10,1236,24641070.88,29875117.77,2394946.49,False
2025-01-08,Parametric (Normal),0.99,2020-02-10,1236,30662821.22,35242664.11,2394946.49,False
2025-01-08,Parametric (t + EWMA),0.95,2020-02-10,1236,11613517.13,15904472.85,2394946.49,False
2025-01-08,Parametric (t + EWMA),0.97,2020-02-10,1236,13787947.69,18099464.62,2394946.49,False
2025-01-08,Parametric (t + EWMA),0.99,2020-02-10,1236,18425724.1,22923105.21,2394946.49,False
2025-01-10,Historical,0.95,2020-02-10,1237,18328921.8,32111182.78,-15496851.79,False
2025-01-10,Historical,0.97,2020-02-10,1237,24788340.24,39333069.28,-15496851.79,False
2025-01-10,Historical,0.99,2020-02-10,1237,34556102.46,57433725.26,-15496851.79,False
2025-01-10,Monte Carlo (Student-t),0.95,2020-02-10,1237,19814375.28,29079193.72,-15496851.79,False
2025-01-10,Monte Carlo (Student-t),0.97,2020-02-10,1237,23756572.97,34089286.98,-15496851.79,False
2025-01-10,Monte Carlo (Student-t),0.99,2020-02-10,1237,33168452.08,47257002.37,-15496851.79,False
2025-01-10,Parametric (Normal),0.95,2020-02-10,1237,21442124.23,27087317.89,-15496851.79,False
2025-01-10,Parametric (Normal),0.97,2020-02-10,1237,24629626.02,29861585.44,-15496851.79,False
2025-01-10,Parametric (Normal),0.99,2020-02-10,1237,30648974.73,35226991.06,-15496851.79,False
2025-01-10,Parametric (t + EWMA),0.95,2020-02-10,1237,11271378.19,15446133.29,-15496851.79,True
2025-01-10,Parametric (t + EWMA),0.97,2020-02-10,1237,13386583.27,17581800.48,-15496851.79,True
2025-01-10,Parametric (t + EWMA),0.99,2020-02-10,1237,17898790.18,22275880.34,-15496851.79,False
2025-01-13,Historical,0.95,2020-02-13,1235,18330539.71,32111182.78,4665714.7,False
2025-01-13,Historical,0.97,2020-02-13,1235,24796801.17,39333069.28,4665714.7,False
2025-01-13,Historical,0.99,2020-02-13,1235,34557551.58,57433725.26,4665714.7,False
2025-01-13,Monte Carlo (Student-t),0.95,2020-02-13,1235,20763105.38,31777881.18,4665714.7,False
2025-01-13,Monte Carlo (Student-t),0.97,2020-02-13,1235,25880886.05,37620619.63,4665714.7,False
2025-01-13,Monte Carlo (Student-t),0.99,2020-02-13,1235,38860514.11,51283013.65,4665714.7,False
2025-01-13,Parametric (Normal),0.95,2020-02-13,1235,21494617.15,27146763.56,4665714.7,False
2025-01-13,Parametric (Normal),0.97,2020-02-13,1235,24686044.74,29924447.95,4665714.7,False
2025-01-13,Parametric (Normal),0.99,2020-02-13,1235,30712807.01,35296461.73,4665714.7,False
2025-01-13,Parametric (t + EWMA),0.95,2020-02-13,1235,12440975.21,16997580.78,4665714.7,False
2025-01-13,Parametric (t + EWMA),0.97,2020-02-13,1235,14752385.31,19327655.34,4665714.7,False
2025-01-13,Parametric (t + EWMA),0.99,2020-02-13,1235,19677118.19,24442550.59,4665714.7,False
2025-01-14,Historical,0.95,2020-02-14,1235,18330539.71,32111182.78,4678512.37,False
2025-01-14,Historical,0.97,2020-02-14,1235,24796801.17,39333069.28,4678512.37,False
2025-01-14,Historical,0.99,2020-02-14,1235,34557551.58,57433725.26,4678512.37,False
2025-01-14,Monte Carlo (Student-t),0.95,2020-02-14,1235,19635064.96,30362796.41,4678512.37,False
2025-01-14,Monte Carlo (Student-t),0.97,2020-02-14,1235,24144322.26,35995916.03,4678512.37,False
2025-01-14,Monte Carlo (Student-t),0.99,2020-02-14,1235,36762126.89,50268108.96,4678512.37,False
2025-01-14,Parametric (Normal),0.95,2020-02-14,1235,21491669.62,27144002.27,4678512.37,False
2025-01-14,Parametric (Normal),0.97,2020-02-14,1235,24683202.37,29921778.19,4678512.37,False
2025-01-14,Parametric (Normal),0.99,2020-02-14,1235,30710163.22,35293968.97,4678512.37,False
2025-01-14,Parametric (t + EWMA),0.95,2020-02-14,1235,12167661.88,16630743.54,4678512.37,False
2025-01-14,Parametric (t + EWMA),0.97,2020-02-14,1235,14431708.17,18912966.99,4678512.37,False
2025-01-14,Parametric (t + EWMA),0.99,2020-02-14,1235,19255355.82,23922637.14,4678512.37,False
2025-01-15,Historical,0.95,2020-02-18,1235,18330539.71,32111182.78,15384038.07,False
2025-01-15,Historical,0.97,2020-02-18,1235,24796801.17,39333069.28,15384038.07,False
2025-01-15,Historical,0.99,2020-02-18,1235,34557551.58,57433725.26,15384038.07,False
2025-01-15,Monte Carlo (Student-t),0.95,2020-02-18,1235,20222743.07,29567626.0,15384038.07,False
2025-01-15,Monte Carlo (Student-t),0.97,2020-02-18,1235,24038426.75,34671699.27,15384038.07,False
2025-01-15,Monte Carlo (Student-t),0.99,2020-02-18,1235,35034169.01,46622344.09,15384038.07,False
2025-01-15,Parametric (Normal),0.95,2020-02-18,1235,21489747.33,27142267.18,15384038.07,False
2025-01-15,Parametric (Normal),0.97,2020-02-18,1235,24681385.78,29920135.09,15384038.07,False
2025-01-15,Parametric (Normal),0.99,2020-02-18,1235,30708546.24,35292503.8,15384038.07,False
2025-01-15,Parametric (t + EWMA),0.95,2020-02-18,1235,11907083.62,16280592.12,15384038.07,False
2025-01-15,Parametric (t + EWMA),0.97,2020-02-18,1235,14125787.8,18516978.68,15384038.07,False
2025-01-15,Parametric (t + EWMA),0.99,2020-02-18,1235,18852618.87,23425803.57,15384038.07,False
2025-01-16,Historical,0.95,2020-02-18,1236,18329730.76,32111182.78,5122963.04,False
2025-01-16,Historical,0.97,2020-02-18,1236,24792570.71,39333069.28,5122963.04,False
2025-01-16,Historical,0.99,2020-02-18,1236,34556827.02,57433725.26,5122963.04,False
2025-01-16,Monte Carlo (Student-t),0.95,2020-02-18,1236,20238742.07,30169514.46,5122963.04,False
2025-01-16,Monte Carlo (Student-t),0.97,2020-02-18,1236,25194834.73,35343657.17,5122963.04,False
2025-01-16,Monte Carlo (Student-t),0.99,2020-02-18,1236,35825707.38,47506979.15,5122963.04,False
2025-01-16,Parametric (Normal),0.95,2020-02-18,1236,21479426.43,27132329.94,5122963.04,False
